id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
26,A2 - Sunn Raha Hai.mp3,Sunn Raha Hai,songs-file/A2%20-%20Sunn%20Raha%20Hai.mp3.mp3,390.2577777777778,0,0,15,A2,Aashiqui 2,2013,Ankit Tiwari,Hindi
27,A2 - Tum Hi Ho.mp3,Tum Hi Ho,songs-file/A2%20-%20Tum%20Hi%20Ho.mp3.mp3,262.7998125,0,0,15,A2,Aashiqui 2,2013,Arijit Singh,Hindi
28,A2 - Aashiqui 2 (Mashup).mp3,Aashiqui 2 (Mashup),songs-file/A2%20-%20Aashiqui%202%20(Mashup).mp3.mp3,302.85786848072564,0,0,15,A2,Aashiqui 2,2013,"Arijit Singh, Shreya Ghoshal, Tulsi Kumar, Palak Muchhal, KK, Ankit Tiwari, Mustafa Zahid",Hindi
29,A2 - Bhula Dena.mp3,Bhula Dena,songs-file/A2%20-%20Bhula%20Dena.mp3.mp3,240.62839002267575,0,0,15,A2,Aashiqui 2,2013,Mustafa Zahid,Hindi
30,ABDL - Aap Jaisa Koi.mp3,Aap Jaisa Koi,songs-file/ABDL%20-%20Aap%20Jaisa%20Koi.mp3.mp3,247.6488125,0,0,16,ABDL,Abdullah,1980,Nazia Hassan,Hindi
31,ABDL - Maine Poochha Chand Se.mp3,Maine Poochha Chand Se,songs-file/ABDL%20-%20Maine%20Poochha%20Chand%20Se.mp3.mp3,310.1859375,0,0,16,ABDL,Abdullah,1980,Mohammed Rafi,Hindi
32,AR - Zor Ka Jhatka.mp3,Zor Ka Jhatka,songs-file/AR%20-%20Zor%20Ka%20Jhatka.mp3.mp3,250.42666666666668,0,0,17,AR,Action Replayy,2010,"Daler Mehndi, Richa Sharma",Hindi
33,ADHM - Bulleya.mp3,Bulleya,songs-file/ADHM%20-%20Bulleya.mp3.mp3,348.94367346938776,0,0,18,ADHM,Ae Dil Hai Mushkil,2016,Pritam Chakraborty,Hindi
34,ADHM - Channa Mereya.mp3,Channa Mereya,songs-file/ADHM%20-%20Channa%20Mereya.mp3.mp3,289.3322448979592,0,0,18,ADHM,Ae Dil Hai Mushkil,2016,Arijit Singh,Hindi
35,AV - Pungi.mp3,Pungi,songs-file/AV%20-%20Pungi.mp3.mp3,250.2878911564626,0,0,19,AV,Agent Vinod,2012,"Pritam Chakraborty, Jaaved Jaffrey, Mika Singh, Nakash Aziz",Hindi
36,AV - Raabta.mp3,Raabta,songs-file/AV%20-%20Raabta.mp3.mp3,290.1333333333333,0,0,19,AV,Agent Vinod,2012,Arijit Singh,Hindi
37,AGNP - Abhi Mujh Mein Kahin.mp3,Abhi Mujh Mein Kahin,songs-file/AGNP%20-%20Abhi%20Mujh%20Mein%20Kahin.mp3.mp3,364.1549375,0,0,20,AGNP,Agneepath,2012,Sonu Nigam,Hindi
38,ARLF - Dil Cheez Tujhe Dedi.mp3,Dil Cheez Tujhe Dedi,songs-file/ARLF%20-%20Dil%20Cheez%20Tujhe%20Dedi.mp3.mp3,271.04975,0,0,21,ARLF,Airlift,2016,"Arijit Singh, Ankit Tiwari",Hindi
39,ARLF - Soch Na Sake.mp3,Soch Na Sake,songs-file/ARLF%20-%20Soch%20Na%20Sake.mp3.mp3,281.0024,0,0,21,ARLF,Airlift,2016,Arijit Singh,Hindi
40,ATRZ - Aankhen Bandh Karke.mp3,Aankhen Bandh Karke,songs-file/ATRZ%20-%20Aankhen%20Bandh%20Karke.mp3.mp3,384.18285714285713,0,0,22,ATRZ,Aitraaz,2004,"Alka Yagnik, Udit Narayan",Hindi
41,AGL - Boom Boom (Lip Lock).mp3,Boom Boom (Lip Lock),songs-file/AGL%20-%20Boom%20Boom%20(Lip%20Lock).mp3.mp3,275.3828571428571,0,0,23,AGL,Ajab Gazabb Love,2012,"Sajid-Wajid, Mika Singh",Hindi
42,APKGK - Aa Jao Meri Tamanna.mp3,Aa Jao Meri Tamanna,songs-file/APKGK%20-%20Aa%20Jao%20Meri%20Tamanna.mp3.mp3,245.82666666666665,0,0,24,APKGK,Ajab Prem Ki Ghazab Kahani,2009,"Jojo, Javed Ali",Hindi
43,APKGK - Main Tera Dhadkan Teri.mp3,Main Tera Dhadkan Teri,songs-file/APKGK%20-%20Main%20Tera%20Dhadkan%20Teri.mp3.mp3,364.70689285714286,0,0,24,APKGK,Ajab Prem Ki Ghazab Kahani,2009,"Hard Kaur, Sunidhi Chauhan, KK",Hindi
44,APKGK - Prem Ki Naiyya.mp3,Prem Ki Naiyya,songs-file/APKGK%20-%20Prem%20Ki%20Naiyya.mp3.mp3,251.29795918367347,0,0,24,APKGK,Ajab Prem Ki Ghazab Kahani,2009,"Neeraj Shridhar, Suzanne D'Mello",Hindi
45,APKGK - Tera Hone Laga Hoon.mp3,Tera Hone Laga Hoon,songs-file/APKGK%20-%20Tera%20Hone%20Laga%20Hoon.mp3.mp3,300.0424489795918,0,0,24,APKGK,Ajab Prem Ki Ghazab Kahani,2009,"Joi Barua, Alisha Chinai, Atif Aslam",Hindi
46,APKGK - Tu Jaane Na.mp3,Tu Jaane Na,songs-file/APKGK%20-%20Tu%20Jaane%20Na.mp3.mp3,341.93333333333334,0,0,24,APKGK,Ajab Prem Ki Ghazab Kahani,2009,Atif Aslam,Hindi
47,AJNB - Ek Ajnabee Haseena Se (New).mp3,Ek Ajnabee Haseena Se (New),songs-file/AJNB%20-%20Ek%20Ajnabee%20Haseena%20Se%20(New).mp3.mp3,210.024,0,0,25,AJNB,Ajanabee,1974,Kishore Kumar,Hindi
48,AJNB - Ek Ajnabee Haseena Se.mp3,Ek Ajnabee Haseena Se,songs-file/AJNB%20-%20Ek%20Ajnabee%20Haseena%20Se.mp3.mp3,271.0726530612245,0,0,25,AJNB,Ajanabee,1974,Kishore Kumar,Hindi
